code,title,department,credits,rows,cols,prerequisites
CS101,Introduction to Computer Science,Computer Science,4,50,50,
CS201,Data Structures and Algorithms,Computer Science,4,100,50,CS101
CS301,Advanced Algorithms and Complexity,Computer Science,4,120,80,CS201
CS302,Operating Systems and Concurrency,Computer Science,4,80,60,CS201
CS401,Distributed Systems and Cloud Computing,Computer Science,4,150,100,CS302
AI201,Foundations of Artificial Intelligence,Artificial Intelligence,3,60,40,CS101
AI301,Deep Learning and Neural Architectures,Artificial Intelligence,4,200,100,AI201
AI401,Natural Language Processing and Transformers,Artificial Intelligence,4,180,120,AI301
AI402,Computer Vision and Image Analytics,Artificial Intelligence,4,160,90,AI301
DS101,Introduction to Data Science,Data Science,3,40,40,
DS201,Statistical Inference and Modeling,Data Science,4,80,60,DS101
DS301,Big Data Engineering and Pipelines,Data Science,4,140,100,DS201
DS401,Predictive Analytics and Time Series,Data Science,4,110,70,DS301
MATH101,Calculus and Real Analysis,Mathematics,4,30,30,
MATH201,Linear Algebra and Matrix Theory,Mathematics,4,60,60,MATH101
MATH202,Probability and Random Processes,Mathematics,4,70,50,MATH101
MATH301,Graph Theory and Combinatorics,Mathematics,3,80,80,MATH201
MATH401,Numerical Methods and Optimization,Mathematics,4,100,100,MATH201
EC101,Digital Logic and Computer Organization,Electronics,4,50,50,
EC201,Signals and Discrete Systems,Electronics,4,90,70,MATH101
EC301,VLSI Design and Embedded Systems,Electronics,4,130,90,EC101
CY101,Network Security and Cryptography,Cybersecurity,4,110,80,CS201
CY201,Information Assurance and Auditing,Cybersecurity,3,70,50,CY101
SE201,Software Engineering and Architecture,Software Engineering,3,60,50,CS201
SE301,Human Computer Interaction and UI Design,Software Engineering,3,40,40,SE201
